Job Title,Company Name,Location,Salary Estimate,Rating,Job Description
Business Data Scientist,"Kinaxis Inc.
4.0",Bengaluru,₹3L – ₹10L/yr (Glassdoor Est.),4.0,N/A
AIML Engineer,N/A,Remote,₹10L – ₹23L/yr (Employer provided),N/A,N/A
"Freelance Engineer (AI/ML Specialist in GenAI, LLMs, and GAN",N/A,Remote,₹20K – ₹25K/mo (Employer provided),N/A,N/A
Machine Learning Engineer,"Perennial Systems
3.5",Remote,₹5L – ₹18L/yr (Employer provided),3.5,N/A
AI/ML Engineer,N/A,India,₹5L/yr (Employer provided),N/A,N/A
AI/ML Engineer,"Humaniquee
4.6",Bengaluru,₹6L/yr (Employer provided),4.6,N/A
Test Engineer (QA) - ML Model Testers,N/A,Remote,₹30L – ₹35L/yr (Employer provided),N/A,N/A
Engineer II - ML (CV),N/A,Bengaluru,N/A,N/A,N/A
Graduate SDE/ SDE - 1 | Generative AI Engineer,N/A,Mumbai,N/A,N/A,N/A
AI/ML Engineer Generative AI Engineer,N/A,Remote,₹60K – ₹1L/mo (Employer provided),N/A,N/A
AI/ML Engineer,"SentientGeeks
4.7",Calcutta,₹2L – ₹6L/yr (Glassdoor Est.),4.7,N/A
AI/ML Engineer,N/A,Pune,₹10L – ₹11L/yr (Employer provided),N/A,N/A
AI/ML Engineer,N/A,Ahmedabad,₹6L – ₹15L/yr (Employer provided),N/A,N/A
AI/ML Engineer,"Abstrabit Technologies Pvt Ltd
5.0",Bengaluru,₹5L – ₹6L/yr (Glassdoor Est.),5.0,N/A
AI/ML Associate Engineer,"Acads360 India Private Limited
4.4",Hyderābād,₹3L – ₹8L/yr (Glassdoor Est.),4.4,N/A
Ai/ml executive,N/A,Remote,₹9K – ₹12K/mo (Employer provided),N/A,N/A
ML Engineer,N/A,Indore,₹46K – ₹86K/mo (Employer provided),N/A,N/A
ML Software Engineer,"SSQ
3.7",Bengaluru,₹5L/yr (Employer provided),3.7,N/A
AI & ML Engineer,"Geogo Techsolutions
4.7",Calcutta,₹3L – ₹7L/yr (Glassdoor Est.),4.7,N/A
Artificial Intelligence Engineer,N/A,Remote,₹20L/yr (Employer provided),N/A,N/A
ML Engineer,"Applogiq
4.4",Remote,N/A,4.4,N/A
AI ML Engineer,"Qualcomm
3.9",Hyderābād,₹2L/yr (Glassdoor Est.),3.9,N/A
AI/ML Engineer,"AKONI TECHNOLOGIES LTD
5.0",Remote,N/A,5.0,N/A
AI/ML Engineer,"ImpactQA
3.7",Remote,N/A,3.7,N/A
Machine Learning Engineer (LLMs & Generative AI),N/A,Remote,₹20K – ₹30K/mo (Employer provided),N/A,N/A
MLOps Engineer / ML Engineer (SME),N/A,Remote,N/A,N/A,N/A
AI / ML Engineer,"Accenture
3.8",Bengaluru,N/A,3.8,N/A
Director Software Engineering - AI/ML,"Optum
3.5",Bengaluru,₹2L – ₹8L/yr (Glassdoor Est.),3.5,N/A
Director - AI Platform,N/A,India,N/A,N/A,N/A
"Staff Software Developer, Machine Learning","Kinaxis Inc.
4.0",Bengaluru,₹4L – ₹9L/yr (Glassdoor Est.),4.0,N/A
Python AI/ML Engineer,N/A,Bengaluru,₹28L/yr (Employer provided),N/A,N/A
AI/ML Engineer,N/A,Coimbatore,₹5L – ₹12L/yr (Employer provided),N/A,N/A
ML Engineer (Part-time / Freelancer),"DataKrew Pvt. Ltd.
3.7",Pune,₹2L – ₹8L/yr (Glassdoor Est.),3.7,N/A
AI/ML Engineer,"Euphoric Thought Technologies Pvt Ltd
4.8",India,N/A,4.8,N/A
AI/ML Engineer,"OneSeven Tech
3.1",Remote,N/A,3.1,N/A
AI/ML Engineer,"NationsBenefits, LLC
2.5",Hyderābād,₹1L – ₹5L/yr (Glassdoor Est.),2.5,N/A
MTS 3 or 4 - ML Engineer,"The Nielsen Company
3.3",Bengaluru,₹6L – ₹9L/yr (Glassdoor Est.),3.3,N/A
AI/ML Engineer(Gen ai)/Bengaluru-onsite,N/A,India,N/A,N/A,N/A
DC2025007 || ML Engineer,"Droisys Inc
4.1",Noida,₹2L – ₹4L/yr (Glassdoor Est.),4.1,N/A
Data Scientist/ ML Engineer,"Employee Hub LLP
5.0",Chennai,₹13L/yr (Employer provided),5.0,N/A
AI & ML Engineer,"Cubet Techno Labs
3.8",Cochin,₹6L – ₹8L/yr (Glassdoor Est.),3.8,N/A
AI/ML Engineer,"Om Tec Web
2.3",India,₹15K – ₹35K/mo (Employer provided),2.3,N/A
AI / ML Engineer,"Accenture
3.8",Coimbatore,N/A,3.8,N/A
AI / ML Engineer,"Chiplogic Technologies
4.1",Bengaluru,₹5L – ₹6L/yr (Glassdoor Est.),4.4,N/A
AI/ML Engineer,"Liamliang Traveller private limited
4.2",India,₹9L/yr (Employer provided),4.2,N/A
AI/ML Engineer,"OSP Labs Pvt Ltd
4.5",India,₹8L – ₹15L/yr (Employer provided),4.5,N/A
AI/ML Engineer,"Canopas
4.8",India,₹4L/yr (Employer provided),4.8,N/A
AI/ML DATA ENGINEER,"Acute Informatics Pvt. Ltd
3.4",Ahmedabad,₹14K – ₹50K/mo (Employer provided),3.4,N/A
ML Engineer,"Wipro Limited
3.6",Bengaluru,₹6L – ₹7L/yr (Glassdoor Est.),3.6,N/A
AI/ML Engineer (Bengaluru),"Proximity Works
3.4",Bengaluru,₹5L – ₹6L/yr (Glassdoor Est.),3.4,N/A
Engineer I - Software Development (AI/ML),"Accelya
3.6",Mumbai,₹6L – ₹7L/yr (Glassdoor Est.),3.6,N/A
Python Development,"L&T Technology Services Limited.
3.3",Bengaluru,₹4L – ₹7L/yr (Glassdoor Est.),3.3,N/A
"Data / ML Scientist (Clustering, Trends & Root-Cause)",N/A,Remote,₹10L/yr (Employer provided),N/A,N/A
Global IT Platform Engineer Expert Senior Manager - Gen AI/ LLM Ops,"Boston Consulting Group
4.2",Gurgaon,N/A,N/A,N/A
Engineer – ML,GrapheneAI,India,N/A,3.3,N/A
AI/ ML Engineer,N/A,Navi Mumbai,N/A,N/A,N/A
Prompt Engineer (Generative AI),N/A,Remote,N/A,N/A,N/A
Python ML Engineer,Boost Tech,Bengaluru,₹12L – ₹14L/yr (Employer provided),N/A,N/A
AI Engineer (Contract Position),N/A,Remote,₹70K – ₹80K/mo (Employer provided),N/A,N/A
Machine Learning Engineer - Computer Vision & LLM,"Apple
4.1",Bengaluru,₹6L – ₹10L/yr (Glassdoor Est.),4.1,N/A
Data Scientist,N/A,Remote,₹5L – ₹10L/yr (Employer provided),N/A,N/A
AI/ML Engineer - I,"Geekyants
4.2",Bengaluru,N/A,4.2,N/A
Software Engineer I/ Software Engineer II (Backend),"KlearNow.ai
3.9",Gurgaon,N/A,3.9,N/A
Data Science Engineer-ML/NLP,"Relyance AI
3.5",Bengaluru,₹5L – ₹8L/yr (Glassdoor Est.),3.5,N/A
AI/ML Engineer,N/A,Bengaluru,N/A,N/A,N/A
AI/ML Engineer,"Hewlett Packard Enterprise
4.2",Hyderābād,₹6L – ₹9L/yr (Glassdoor Est.),4.2,N/A
Intern - AI/ML,"DP World
3.5",Bengaluru,N/A,3.5,N/A
Data/ML Ops Engineer,"NTT DATA
3.8",Bengaluru,₹5L – ₹7L/yr (Glassdoor Est.),3.8,N/A
Senior AI & ML Engineer,"BlackStone eIT
2.9",Remote,N/A,3.0,N/A
AI/ML Engineer - CAD Applications Intern,"Airbus India Private Limited
4.1",Bengaluru,N/A,4.1,N/A
AI ML Engineer 4+ exp,Rohini IT Consulting,Bengaluru,₹8L – ₹18L/yr (Employer provided),N/A,N/A
AI Engineer,"QuantumBricks
4.7",Remote,₹36L – ₹51L/yr (Employer provided),4.7,N/A
Machine Learning Engineer,N/A,Remote,₹70K – ₹80K/mo (Employer provided),N/A,N/A
AI/ML Engineer,N/A,Chennai,N/A,N/A,N/A
"Software Engineer II - Python, AWS , GenAI/ML","JPMorganChase
4.1",Bengaluru,₹3L – ₹10L/yr (Glassdoor Est.),4.1,N/A
ML Engineer,"Increasingly
4.9",Bengaluru,₹5L – ₹6L/yr (Glassdoor Est.),4.9,N/A
Machine Learning Engineer,"CompIndia Infotech Pvt Ltd
4.2",Chennai,₹15K – ₹25K/mo (Employer provided),4.2,N/A
Full Stack Engineer (0 to 2 Years) - Remote Opportunity,"Abstrabit Technologies Pvt Ltd
5.0",Bengaluru,N/A,N/A,N/A
AI/ML Engineer,"Glasier Inc
4.8",Ahmedabad,₹4L – ₹6L/yr (Glassdoor Est.),4.8,N/A
AI/ML Engineer,"Datazymes
4.3",Bengaluru,₹5L – ₹9L/yr (Glassdoor Est.),3.5,N/A
AI/ML Engineer (Python Developer),"Cybernetyx
4.1",Bengaluru,₹5L – ₹6L/yr (Glassdoor Est.),4.1,N/A
ML/AI Engineer,"Auriga
4.4",Jaipur,₹4L – ₹7L/yr (Glassdoor Est.),4.4,N/A
AI/ML Engineer,"Facctum Solutions
3.7",Karnataka,N/A,3.7,N/A
AI/ML Engineer,"Ezio Solutions
3.2",Coimbatore,₹5L – ₹8L/yr (Glassdoor Est.),3.2,N/A
AI/ML Engineer,N/A,Mohali,₹35K – ₹45K/mo (Employer provided),N/A,N/A
ML Engineer,"Standard Chartered
3.8",Chennai,₹7L – ₹9L/yr (Glassdoor Est.),3.8,N/A
ML Engineer,"Truecaller
3.7",Bengaluru,₹3L – ₹9L/yr (Glassdoor Est.),3.7,N/A
AI or ML Engineer,"Optum
3.5",Bengaluru,₹2L – ₹8L/yr (Glassdoor Est.),3.5,N/A
Machine Learning Engineer - AI/ML,"Avalara
3.4",Remote,N/A,3.4,N/A
AI/ML Engineer,"HireRight
3.3",Bengaluru,N/A,3.3,N/A
ML Engineer/MLOps Engineer,"CrossAsyst
4.0",Navi Mumbai,₹2L – ₹7L/yr (Glassdoor Est.),4.0,N/A
AI/ML Engineer/ Architect,N/A,Remote,N/A,N/A,N/A
AI/ML Engineer,"GeoTechnosoft
4.1",Noida,N/A,4.1,N/A
Full Stack Developer Intern (AI/ML),N/A,Remote,₹5K – ₹10K/mo (Employer provided),N/A,N/A
Artificial Intelligence Engineer,N/A,Cochin,₹30K – ₹40K/mo (Employer provided),N/A,N/A
Machine Learning Engineer_AI & ML Team,"Zeta Global
3.4",Bengaluru,N/A,3.4,N/A
AI & ML Engineer,"Rayvector
2.0",India,N/A,3.4,N/A
Junior ML Engineer,"EBC Technologies
3.9",Lucknow,₹4L – ₹6L/yr (Glassdoor Est.),3.9,N/A
Test Automation Engineer,"Delta Capita
3.4",Bengaluru,N/A,3.4,N/A
AI-ML Engineer I / AI-ML Engineer II,"KlearNow.ai
3.9",Gurgaon,₹8L – ₹10L/yr (Glassdoor Est.),3.9,N/A
ML Researcher,"Invokhr
4.0",Bengaluru,N/A,4.0,N/A
AI/ML Intern,N/A,Gāndhīnagar,N/A,N/A,N/A
Machine Learning Engineer,"Aidaptive
4.8",Remote,N/A,4.8,N/A
AI Engineer,N/A,Cochin,₹10K – ₹25K/mo (Employer provided),N/A,N/A
Software Engineer (AI/ML & Modern Technologies) (On Site),N/A,Noida,N/A,N/A,N/A
Agentic AI Engineer,N/A,Remote,₹4L – ₹10L/yr (Employer provided),N/A,N/A
Associate Software Engineer- ML,"Techvariable
3.8",Guwahati,N/A,3.8,N/A
QA Engineer - Re:them,"Expedite Commerce
4.5",Remote,N/A,4.5,N/A
Artificial Intelligence Engineer,N/A,Hyderābād,₹25K – ₹30K/mo (Employer provided),N/A,N/A
ML Engineer I,"UST Global
3.9",Thiruvananthapuram,N/A,3.9,N/A
AI or ML Engineer,"Optum
3.5",Noida,₹1L – ₹6L/yr (Glassdoor Est.),3.5,N/A
AI/ML Engineer,"SoftProdigy System Solutions Pvt. Ltd.
4.5",Delhi,N/A,4.5,N/A
AI Software Engineer,N/A,Remote,₹3L – ₹11L/yr (Employer provided),N/A,N/A
AI / ML Intern,"Secninjaz
4.4",Delhi,N/A,4.4,N/A
AI/ML Engineer (1 - 3 years),"Big Rattle Technologies
4.4",India,N/A,4.4,N/A
ML Engineer,"Appriffy-Digital IT Hub
4.8",Bengaluru,₹6L – ₹9L/yr (Glassdoor Est.),4.8,N/A
AI/ML Engineer,"Pravaig
3.3",Bengaluru,N/A,3.3,N/A
AI/ML Engineer,"TartanHQ
3.1",Gurgaon,₹8L – ₹10L/yr (Glassdoor Est.),4.7,N/A
Lab45 - AI-ML Engineer,"Wipro Limited
3.6",Bengaluru,₹6L – ₹7L/yr (Glassdoor Est.),3.6,N/A
Applied AI Engineer,"Webscale
3.8",Remote,₹20L – ₹30L/yr (Employer provided),3.8,N/A
ML Engineer - India,Aizen,Hyderābād,₹3L – ₹8L/yr (Glassdoor Est.),5.0,N/A
AI/ML Engineer,"Cloudifyops
3.9",Bengaluru,₹5L – ₹6L/yr (Glassdoor Est.),3.7,N/A
ML Engineer,"Dentsu
3.7",Bengaluru,N/A,3.6,N/A
Python + Cybersecurity Engineer,N/A,Remote,₹45K – ₹2L/mo (Employer provided),N/A,N/A
Software Engineer (AI/ML),N/A,Bengaluru,N/A,N/A,N/A
AI/ML Engineer,"Orion eSolutions
4.3",Mohali,₹15L – ₹20L/yr (Employer provided),4.3,N/A
Software Engineer II,"Hinge-Health
3.4",Bengaluru,N/A,3.4,N/A
AI Engineer,"Burns & McDonnell
4.1",Bengaluru,₹5L – ₹8L/yr (Glassdoor Est.),4.1,N/A
Senior Software Engineer I - Java and ReactJS,"Optum
3.5",Hyderābād,₹8L – ₹10L/yr (Glassdoor Est.),3.5,N/A
ML Engineer - Python,N/A,India,₹3L – ₹15L/yr (Employer provided),N/A,N/A
AI/ML Solutions Engineer,"Resillion
2.9",Bengaluru,₹3L – ₹9L/yr (Glassdoor Est.),2.9,N/A
AI ML Engineer,"Arrow Electronics, Inc.
3.7",Ahmedabad,₹3L – ₹8L/yr (Glassdoor Est.),3.7,N/A
Middle/Senior ML Engineer,"Provectus
4.0",Haryana,N/A,4.0,N/A
ML Engineer- Intelligent Gaming,"Saarthee
3.2",Bengaluru,₹5L – ₹6L/yr (Glassdoor Est.),3.2,N/A
Functional Integration Engineer (Middleware),"Apple
4.1",Hyderābād,N/A,4.1,N/A
Engineer - Data Science/R&D,"Ninestars Information Technologies
3.4",Bengaluru,₹7L – ₹9L/yr (Glassdoor Est.),3.4,N/A
Intern- Data Science,"Aereo
4.1",Bengaluru,N/A,4.1,N/A
AI/ML Engineer,"GBrit Software Solutions Pvt Ltd
4.0",Hosūr,₹3L/yr (Employer provided),4.0,N/A
AI/ML Engineer,"oCode Technologies
3.1",Mohali,₹15K – ₹60K/mo (Employer provided),3.1,N/A
AI/ML Engineer,"Maruti Suzuki India Ltd
3.8",Gurgaon,₹3L – ₹4L/yr (Glassdoor Est.),3.8,N/A
AI/ML Engineer – Computer Vision (Onsite/Office Project),"Muks Robotics AI Pvt.Ltd.
3.6",Pune,N/A,N/A,N/A
AI / ML Engineer,N/A,Coimbatore,N/A,N/A,N/A
Machine Learning (ML) Engineer,Online Manufacturing,Mumbai,₹2L – ₹8L/yr (Glassdoor Est.),N/A,N/A
Senior Machine Learning Engineer,N/A,Remote,₹70K – ₹95K/mo (Employer provided),N/A,N/A
Machine Learning Engineer,N/A,Bengaluru,₹16L – ₹43L/yr (Employer provided),N/A,N/A
Geospatial Engineer,N/A,Delhi,₹8L – ₹9L/yr (Employer provided),N/A,N/A
Sr. ML Engineer Expert - Time Series,"Bosch Group
4.1",Bengaluru,₹6L – ₹9L/yr (Glassdoor Est.),4.1,N/A
Senior Test Engineer,N/A,Remote,N/A,N/A,N/A
AI/ML Principal Engineer,"GE Vernova
3.8",Remote,N/A,3.8,N/A
AI/ML Engineer,"Teksands
4.5",Bengaluru,₹5L – ₹6L/yr (Glassdoor Est.),4.5,N/A
Principal ML Engineer,"Oracle
3.8",Bengaluru,₹7L – ₹9L/yr (Glassdoor Est.),3.8,N/A
Data and ML Engineer,"The Ksquare Group
3.7",Hyderābād,₹3L – ₹8L/yr (Glassdoor Est.),3.7,N/A
Senior ML Engineer,"Samyak Infotech Pvt. Ltd
3.8",India,₹7L – ₹19L/yr (Employer provided),3.8,N/A
Prompt Engineer,N/A,India,₹35K/mo (Employer provided),N/A,N/A
AI Engineer - India - Fully Remote,"Halo Media
3.3",Remote,N/A,3.2,N/A
ML - Engineer,"Digit88 Technologies Private Limited
4.3",Bengaluru,₹4L – ₹9L/yr (Glassdoor Est.),4.3,N/A
AI-ML Engineer,"MaintWiz Technologies
4.0",Chennai,₹2L – ₹6L/yr (Glassdoor Est.),4.0,N/A
Software Engineer (AI/ML),"Prodapt
3.6",India,N/A,3.3,N/A
ML OPS Engineer,Nithminds Private limited,India,₹10L – ₹15L/yr (Employer provided),N/A,N/A
ML Engineer (MLOps),"Optimum Data Analytics
3.3",Bengaluru,N/A,3.3,N/A
LLM Ops Engineer - Serverless & CI/CD (AWS),"Expedite Commerce
4.5",Remote,N/A,4.5,N/A
Generative AI/LLM Engineer,N/A,Delhi,₹5L – ₹15L/yr (Employer provided),N/A,N/A
Machine Learning Engineer,"National Credit Recovery Inc
3.3",India,₹5L/yr (Employer provided),3.3,N/A
AI/ML Engineer,"KSOLVES
4.2",Indore,N/A,4.2,N/A
Sr ML Engineer,"Visa
3.8",Bengaluru,₹6L – ₹8L/yr (Glassdoor Est.),3.8,N/A
Associate I AI Engineer,"S&P Global
4.1",Gurgaon,₹6L – ₹10L/yr (Glassdoor Est.),4.1,N/A
Applied ML Engineer,"4CRisk.ai Software
2.9",Bengaluru,₹5L – ₹6L/yr (Glassdoor Est.),2.9,N/A
AI ML Engineer,"Lifesight
4.3",Bengaluru,N/A,4.3,N/A
LLM & ML Ops Engineer,"Gainwell Technologies LLC
3.0",Bengaluru,N/A,3.0,N/A
Software Engineer II- AI/ML,"Microsoft
4.2",Hyderābād,₹6L – ₹8L/yr (Glassdoor Est.),4.2,N/A
Backend Engineer (India),"Aidaptive
4.8",Remote,N/A,4.8,N/A
Sr SW Engineer - ML Engineer,"Visa
3.8",Bengaluru,₹6L – ₹8L/yr (Glassdoor Est.),3.8,N/A
Lead QA Engineer – ML & Generative AI,N/A,Remote,₹20L – ₹30L/yr (Employer provided),N/A,N/A
ML Developer Fresher,"CIS
1.0",Indore,₹3L – ₹5L/yr (Glassdoor Est.),1.0,N/A
Machine Learning Software Engineer,"Apple
4.1",Bengaluru,₹6L – ₹10L/yr (Glassdoor Est.),4.1,N/A
ML Engineer,"Warner Bros. Discovery
3.6",Hyderābād,₹6L – ₹8L/yr (Glassdoor Est.),3.6,N/A
AIML Engineer,Orison Solutions LLC,Bengaluru,N/A,N/A,N/A
AI Engineer,N/A,India,₹1L – ₹2L/mo (Employer provided),N/A,N/A
Machine Learning Engineer,N/A,Cochin,₹30K – ₹50K/mo (Employer provided),N/A,N/A
Frontend Software Engineer,"Reveal Health Tech
2.5",Bengaluru,₹3L – ₹8L/yr (Glassdoor Est.),2.5,N/A
AI & ML Engineer,"Stanra Tech Solutions
4.6",Cochin,₹2L – ₹4L/yr (Glassdoor Est.),4.6,N/A
"AI ML, Gen AI Developer",N/A,Bengaluru,₹2L/yr (Employer provided),N/A,N/A
AI/ML Engineer,"Nucleus Software
3.7",Noida,₹4L – ₹8L/yr (Glassdoor Est.),3.7,N/A
AI or ML Engineer,"Optum
3.5",Gurgaon,N/A,3.5,N/A
#18051-AI/ML Engineer,"Qualitest
3.4",Chennai,₹4L – ₹6L/yr (Glassdoor Est.),3.4,N/A
AI/ML Engineer,"Avaali Solutions
3.8",Bengaluru,₹4L – ₹9L/yr (Glassdoor Est.),3.8,N/A
AI/ML Solutions Engineer,"Commissum
4.4",Bengaluru,₹5L – ₹6L/yr (Glassdoor Est.),4.4,N/A
Software Engineer,N/A,Noida,₹9L – ₹15L/yr (Employer provided),N/A,N/A
AI/ML Engineer,"Technource
4.3",Ahmedabad,₹2L – ₹3L/yr (Glassdoor Est.),4.3,N/A
ML Engineer/ DATA Scientist,"Employee Hub
5.0",Hyderābād,₹15L – ₹24L/yr (Employer provided),5.0,N/A
Staff ML Engineer,"Visa
3.8",Bengaluru,N/A,3.8,N/A
Intern Engineer,N/A,India,N/A,N/A,N/A
DATA ENGINEER (ML/AI EXPERIENCE),"Svitla Systems
4.4",India,N/A,4.4,N/A
"Software Engineer III, AI/ML GenAI, Google Cloud","Google
4.3",Hyderābād,₹2L – ₹7L/yr (Glassdoor Est.),4.3,N/A
AI Engineer,N/A,Bengaluru,N/A,N/A,N/A
AI & ML / Data Engineer - India,"CloudBees
4.0",India,N/A,4.0,N/A
AI Engineer - 2 Years experience,N/A,Cochin,₹50K – ₹75K/mo (Employer provided),N/A,N/A
Machine Learning Engineer,"ClanX
5.0",Bengaluru,₹28L/yr (Employer provided),4.7,N/A
ML Engineer-LTS,"RandomTrees
3.6",Hyderābād,₹10L – ₹15L/yr (Employer provided),3.6,N/A
Sr. ML Engineer,"Standard Chartered
3.8",Chennai,₹7L – ₹9L/yr (Glassdoor Est.),3.8,N/A
Sr.Data / ML Scientist,N/A,Remote,₹10L/yr (Employer provided),N/A,N/A
ML Community Ops Engineer,"Clarifai
3.5",Bengaluru,₹10L/yr (Glassdoor Est.),3.5,N/A
Backend Engineer,"Reveal Health Tech
2.5",Bengaluru,₹3L – ₹8L/yr (Glassdoor Est.),2.5,N/A
Sr. Backend Engineer (AI/ML),"Proximity Works
3.4",Remote,N/A,3.4,N/A
AI/ML Engineer,"Unisys
3.4",Bengaluru,₹6L – ₹8L/yr (Glassdoor Est.),3.4,N/A
Senior ML Engineer,"Mindera
4.3",Bengaluru,₹6L – ₹8L/yr (Glassdoor Est.),4.3,N/A
AI Engineer,N/A,Calicut,₹35K – ₹60K/mo (Employer provided),N/A,N/A
Fresher Artificial Intelligence Developer,N/A,Chennai,₹15K – ₹20K/mo (Employer provided),N/A,N/A
Sr. AI/ML Engineer - Cybersecurity,"Visa
3.8",Bengaluru,₹6L – ₹9L/yr (Glassdoor Est.),3.8,N/A
AI/ML Engineer,"Akhil Systems
3.7",Gurgaon,N/A,3.7,N/A
Senior ML Engineer,"Varaha ClimateAg Private Limited
2.9",Bengaluru,₹5L – ₹6L/yr (Glassdoor Est.),2.9,N/A
AI/ML Engineer,Research Infinite Solutions LLP,Mohali,₹20K/mo (Employer provided),N/A,N/A
Sr. ML Engineer (Python developer),"Bluevine - India
3.6",Bengaluru,₹3L – ₹9L/yr (Glassdoor Est.),3.6,N/A
AI Engineer,"Valsoft Corporation
3.6",Bengaluru,₹4L – ₹9L/yr (Glassdoor Est.),3.6,N/A
ML Engineer/Machine Learning/Consultant Specialist,"HSBC
3.9",Pune,₹2L – ₹9L/yr (Glassdoor Est.),3.9,N/A
ML Ops Engineer,"Emgage
4.5",Ahmedabad,₹4L – ₹7L/yr (Glassdoor Est.),4.5,N/A
Senior AI/ML Engineer,"Optum
3.5",Bengaluru,₹2L – ₹8L/yr (Glassdoor Est.),3.5,N/A
Senior AI ML Engineer,"3Pillar
3.2",Remote,N/A,3.2,N/A
Engineer/Sr. Engineer - Gen AI/ML,"Qualcomm
3.9",Hyderābād,₹2L/yr (Glassdoor Est.),3.9,N/A
AL or ML Software Engineer,N/A,Gurgaon,N/A,N/A,N/A
Full Stack AI Agents Intern,N/A,Remote,N/A,N/A,N/A
AI/ML Engineer,"OptimumBrew
3.1",Surat,₹4L – ₹9L/yr (Glassdoor Est.),3.1,N/A
Android ML Engineer,"AppyHigh
3.8",Hyderābād,₹3L – ₹8L/yr (Glassdoor Est.),3.8,N/A
DevOps Engineer,N/A,Bengaluru,N/A,N/A,N/A
ML- AI Engineer,"ThinkBridge Software
3.6",India,N/A,3.6,N/A
AI/ML Engineer,"Orange Mantra
3.9",Gurgaon,₹5L – ₹7L/yr (Glassdoor Est.),3.9,N/A
AI Engineer,N/A,Hyderābād,₹7L – ₹17L/yr (Employer provided),N/A,N/A
AI/ML Engineer,"Datanetiix Solutions
4.1",Chennai,₹1L – ₹2L/yr (Glassdoor Est.),4.1,N/A
AI Engineer (Work from home),Rudram Placement,Pune,₹30L – ₹50L/yr (Employer provided),N/A,N/A
AI / ML Engineer,"Accenture
3.8",Calcutta,N/A,3.8,N/A
AI Engineer - RAG,N/A,Indore,₹10L/yr (Employer provided),N/A,N/A
Associate Solution/ML Engineer,"Pristine Infotech
3.1",Mumbai,₹7L – ₹10L/yr (Glassdoor Est.),3.1,N/A
Ml Ops Engineer | PAN India,"Capgemini Invent
3.8",Pune,₹3L – ₹7L/yr (Glassdoor Est.),3.8,N/A
"AI Engineer / Senior AI Engineer, India - BCG X","Boston Consulting Group
4.2",Gurgaon,N/A,4.2,N/A
AI / ML Engineer,"Accenture
3.8",Hyderābād,N/A,3.8,N/A
Software Engineer,"Firstsource Healthcare
4.1",Mumbai,N/A,4.1,N/A
Software Engineer,"Maersk Line
4.1",Bengaluru,₹9L – ₹10L/yr (Glassdoor Est.),4.1,N/A
