Job Title,Location,Rating,monthly,min_salary_rupees,max_salary_rupees,avg_salary_rupees,company_name_cleaned,Standardized Title
Machine Learning Engineer,Bengaluru,4.1,0,500000.0,600000.0,550000.0,Autodesk,Machine Learning Engineer
Senior Digital Analyst (MCI),Gurgaon,4.4,0,400000.0,900000.0,650000.0,TRU IT,Analyst
Data Science Analyst (Senior),Mumbai,3.7,0,400000.0,600000.0,500000.0,Infogain,Data Science
Manager - Data Science,Gurgaon,4.1,0,400000.0,600000.0,500000.0,Amex,Data Science
Talent Services - Manager - Learning Operations (Insights),Hyderābād,3.9,0,500000.0,900000.0,700000.0,Deloitte,Other
Specialist - AI Development,Bengaluru,3.6,0,400000.0,900000.0,650000.0,Carrier,AI Engineer
Senior Engineer - Machine Learning,Gurgaon,3.8,0,900000.0,1000000.0,950000.0,United Airlines,Machine Learning Engineer
Director/Sr.Director of AI Engineering,Bengaluru,3.6,0,300000.0,700000.0,500000.0,Credit Saison,AI Engineer
"Manager, AI Enablement",Bengaluru,4.1,0,200000.0,700000.0,450000.0,Thomson Reuters,AI Engineer
Modelling and Analytics Senior Manager,Bengaluru,3.8,0,200000.0,200000.0,200000.0,Commonwealth Bank,Analyst
AI Research Engineer (Model Evaluation),Bengaluru,3.1,0,500000.0,900000.0,700000.0,Tether Operations Limited,AI Engineer
Senior Machine Learning Engineer,Bengaluru,4.1,0,500000.0,600000.0,550000.0,Autodesk,Machine Learning Engineer
"Principal Engineer - Development (Machine Learning, Python)",Pune,3.7,0,200000.0,900000.0,550000.0,FIS Global,Machine Learning Engineer
AI/ML Engineer – Team Lead,Ahmedabad,3.6,0,400000.0,400000.0,400000.0,NexusLink Services,Machine Learning Engineer
Lead Consultant - ML Engineer,Hyderābād,3.8,0,700000.0,800000.0,750000.0,Genpact,Machine Learning Engineer
Machine Learning Engineer,,4.2,1,15000.0,25000.0,20000.0,CompIndia Infotech Pvt Ltd,Machine Learning Engineer
Mid Data Scientist,Bengaluru,4.2,0,600000.0,900000.0,750000.0,Reflections Info Systems,Data Scientist
Data Analyst Trainer,Madurai,4,1,12000.0,18000.0,15000.0,Elysium Group of Companies,Data Science
Lead Decision Scientist,Bengaluru,3.8,0,400000.0,1000000.0,700000.0,Tesco India,Other
Lab45 - AI-ML Engineer,Bengaluru,3.6,0,600000.0,700000.0,650000.0,Wipro Limited,Machine Learning Engineer
"Machine Learning Manager, Apple Intelligence",Bengaluru,4.1,0,600000.0,1000000.0,800000.0,Apple,Machine Learning Engineer
AI/ML Engineer - 5 to 10 yrs,Chennai,3.6,0,400000.0,600000.0,500000.0,Wipro Limited,Machine Learning Engineer
Digital Practice Lead_Data & AI,Mumbai,3.9,0,300000.0,1000000.0,650000.0,Savic,AI Engineer
Data Science Trainer,India,4.3,0,300000.0,800000.0,550000.0,Itvedant Education Pvt Ltd,Data Science
Asst. Manager - Fraud Analytics,Noida,3.9,0,800000.0,900000.0,850000.0,Barclays,Analyst
AI Product Owner,Pune,3.7,0,800000.0,1000000.0,900000.0,Johnson Controls,AI Engineer
"Senior Manager – Data science, data modelling and analytics",Bengaluru,3.6,0,500000.0,600000.0,550000.0,Dentsu,Data Science
Senior Analyst - Data Scientist,Noida,3.9,0,800000.0,1000000.0,900000.0,Barclays,Data Scientist
Data Scientist,India,3.7,1,20000.0,30000.0,25000.0,i-Sourcing Technologies Private Limited,Data Scientist
Data Scientist & LLM Operations Specialist- Contract to hire,,4.2,0,500000.0,1600000.0,1050000.0,Rapsys Technologies,Data Scientist
Data Scientist Senior Associate,Bengaluru,3.8,0,200000.0,200000.0,200000.0,Commonwealth Bank,Data Scientist
LLM - Machine Learning TensorFlow + JAX,Remote,,0,1000000.0,1500000.0,1250000.0,GiantMind Solutions,Machine Learning Engineer
Senior Data Scientist,Bengaluru,4,0,400000.0,900000.0,650000.0,Ericsson,Data Scientist
AI/ML Associate Engineer,Hyderābād,4.4,0,300000.0,800000.0,550000.0,Acads360 India Private Limited,AI Engineer
Lead Data Scientist,Pune,4.2,0,200000.0,200000.0,200000.0,Mastercard,Data Scientist
LLM - Machine Learning TensorFlow + JAX,Remote,,0,1500000.0,2500000.0,2000000.0,Nithminds Private limited,Machine Learning Engineer
Data Science Tutor,Thiruvananthapuram,4.2,1,8000.0,15000.0,11500.0,Avodha Edutech Pvt Ltd,Data Science
AI & ML Engineer,Calcutta,4.7,0,200000.0,700000.0,450000.0,Geogo Techsolutions,Machine Learning Engineer
Lead - Data Analytics and Insights,Bengaluru,4.1,0,1000000.0,1000000.0,1000000.0,Fidelity Investments,Analyst
AI/ML Engineer,Hyderābād,4.2,0,600000.0,900000.0,750000.0,Hewlett Packard Enterprise,Machine Learning Engineer
Atmospheric Scientist/Statistician I,Hyderābād,4,0,500000.0,700000.0,600000.0,Verisk,Other
EDU Manager-RAMS-Data Analytics,Bengaluru,3.8,0,500000.0,600000.0,550000.0,ALSTOM,Analyst
"VP, RC AI and Analytics",Calcutta,3.9,0,200000.0,900000.0,550000.0,HSBC,AI Engineer
Storm Surge Specialist using Machine Learning,Hyderābād,4,0,300000.0,700000.0,500000.0,Verisk,Machine Learning Engineer
Staff Analytics SpecialistNew,Bengaluru,3.6,0,1000000.0,1000000.0,1000000.0,Razorpay,Analyst
"Sr. Analyst, Marketing Strategy & Analytics",Bengaluru,3.7,0,200000.0,300000.0,250000.0,Zscaler,Analyst
Data Scientist,Chennai,4,0,500000.0,900000.0,700000.0,Ford Motor Company,Data Scientist
Data Scientist,Bengaluru,4.1,0,400000.0,900000.0,650000.0,GE Aerospace,Data Scientist
Data Scientist (Credit),Bengaluru,3.8,0,900000.0,1000000.0,950000.0,Revolut,Data Scientist
Data Science Researcher/SME,Noida,5,1,20000.0,30000.0,25000.0,Isad group,Data Science
"Senior Data Scientist - AIML, Cloud, PowerBI",Noida,3.5,0,300000.0,1000000.0,650000.0,Optum,Data Scientist
Data Science Mentor,Remote,4.4,1,15000.0,20000.0,17500.0,UniConverge Technologies Pvt. Ltd.,Data Science
Experienced Data Scientist,Bengaluru,3.7,0,600000.0,800000.0,700000.0,BOEING,Data Scientist
Senior Data Scientist,Coimbatore,4,0,400000.0,800000.0,600000.0,"EPAM Systems, Inc.",Data Scientist
MIS cum Analyst,Noida,3.9,0,100000.0,300000.0,200000.0,IKM Investors Private Limited,Analyst
Experienced AI/ML Engineer,Remote,4.4,0,400000.0,800000.0,600000.0,D3V Technology Solutions,Machine Learning Engineer
Senior Data Scientist,Bengaluru,3.9,0,400000.0,800000.0,600000.0,Takeda Pharmaceutical,Data Scientist
AI/ML Developer,Ahmedabad,,0,400000.0,700000.0,550000.0,Shayona Technology,AI Engineer
Senior Analyst-Data Analytics,Gurgaon,4.1,0,200000.0,300000.0,250000.0,Amex,Analyst
"Quant Analytics Associate - SQL, SAS/Alteryx/Tableau",Hyderābād,4.1,0,300000.0,900000.0,600000.0,JPMorganChase,Analyst
Assistant Manager - Data Science,Chennai,3.9,0,400000.0,600000.0,500000.0,LatentView Analytics,Data Science
Senior ML Engineer,India,3.8,0,700000.0,1900000.0,1300000.0,Samyak Infotech Pvt. Ltd,Machine Learning Engineer
Senior Machine Learning Engineer - R&D,Bengaluru,4.2,0,600000.0,900000.0,750000.0,Quantiphi,Machine Learning Engineer
Senior Engineer Consultant-Data Science,,4.1,0,500000.0,1000000.0,750000.0,Verizon,Data Science
Senior Machine Learning Operations Engineer,Mumbai,3.9,0,9000000.0,700000.0,4850000.0,Digimind,Machine Learning Engineer
ML Engineer,Bengaluru,4.4,0,100000.0,800000.0,450000.0,AceNet,Machine Learning Engineer
Senior Software Engineer: Data Science,Bengaluru,3,0,100000.0,200000.0,150000.0,Enphase Energy,Data Science
Lead - Analytics,Mumbai,3.7,0,200000.0,600000.0,400000.0,Bajaj Electricals,Analyst
Senior AI/ML Engineer – R01551251,Bengaluru,4,0,700000.0,1000000.0,850000.0,Brillio,Machine Learning Engineer
Lead Analytics SpecialistNew,Bengaluru,3.6,0,1000000.0,1000000.0,1000000.0,Razorpay,Analyst
"Sr. Manager, Data & AI systems architecture",Bengaluru,3.9,0,500000.0,900000.0,700000.0,AGCO,AI Engineer
Analytics Solutions - Vice President,Bengaluru,4.1,0,400000.0,600000.0,500000.0,JPMorganChase,Analyst
Data Scientist,Noida,3.6,0,400000.0,600000.0,500000.0,BIG OH TECH,Data Scientist
Data Scientist,Bengaluru,3.8,0,300000.0,300000.0,300000.0,Visa,Data Scientist
Data Scientist II,Bengaluru,4.2,0,200000.0,1000000.0,600000.0,Microsoft,Data Scientist
Data Scientist,Pune,3.9,0,800000.0,1000000.0,900000.0,Barclays,Data Scientist
Data Scientist,Bengaluru,3.7,0,500000.0,800000.0,650000.0,Virtusa,Data Scientist
Data Scientist - I,Bengaluru,4,0,200000.0,400000.0,300000.0,G2,Data Scientist
Data Scientist,Mohali,3.6,1,8000.0,15000.0,11500.0,eNest Technologies Pvt Ltd,Data Scientist
Data Scientist,India,3.3,0,1000000.0,2200000.0,1600000.0,NCRi Inc.,Data Scientist
Data Scientist,Mohali,4.9,1,45000.0,85000.0,65000.0,Primotech,Data Scientist
Senior Data Scientist - AI/ML,Chennai,3.8,0,300000.0,800000.0,550000.0,ZF,Data Scientist
Data Scientist/AI Engineer,Chennai,,0,1500000.0,1800000.0,1650000.0,Warrior tech solutions,Data Scientist
Data Scientist,Tirupati,3.4,0,200000.0,200000.0,200000.0,Young Minds Technology Solutions Pvt Ltd,Data Scientist
Data Scientist,Gurgaon,5,0,800000.0,900000.0,850000.0,Amlgo Labs,Data Scientist
"Data Scientist, VP",Bengaluru,4.1,0,300000.0,500000.0,400000.0,NatWest Group,Data Scientist
Data Scientist (135),Gurgaon,3.8,0,400000.0,700000.0,550000.0,amdocs,Data Scientist
Data Science Trainee,Thāne,3.9,0,300000.0,900000.0,600000.0,LANXESS,Data Science
Data Scientist – Smart Metering,,,1,80000.0,90000.0,85000.0,JSG Consulting,Data Scientist
Data Scientist,Gurgaon,4.4,0,500000.0,600000.0,550000.0,Think Future Technologies,Data Scientist
Data Scientist,Bengaluru,3.8,0,100000.0,600000.0,350000.0,ALSTOM,Data Scientist
Lead Data Scientist,Chennai,4.2,0,1500000.0,2000000.0,1750000.0,Ignitho Technologies,Data Scientist
"Data Scientist, gTech Ads Solutions",Gurgaon,4.3,0,100000.0,1000000.0,550000.0,Google,Data Scientist
Data Scientist 3,Bengaluru,4.1,0,400000.0,500000.0,450000.0,Amadeus IT Group SA,Data Scientist
Marketing Analytics Specialist,Hyderābād,3.7,0,200000.0,700000.0,450000.0,Zelis,Analyst
Senior Data Scientist,Bengaluru,3.4,0,500000.0,900000.0,700000.0,First Advantage,Data Scientist
Specialist Data Scientist,,4.3,0,1000000.0,1000000.0,1000000.0,NICE Systems,Data Scientist
Technical Specialist - Data Scientist,Gurgaon,3.8,0,600000.0,800000.0,700000.0,Fidelity International,Data Scientist
AI/ML Data Scientist,Hyderābād,4,0,400000.0,500000.0,450000.0,Sanofi,Data Scientist
Data Scientist I,,3.9,0,400000.0,1000000.0,700000.0,AGCO,Data Scientist
Senior Statistical Data Scientist,Chennai,3.8,0,500000.0,700000.0,600000.0,Pfizer,Data Scientist
Sr Data Scientist - ML/OR,Bengaluru,3.4,0,400000.0,1000000.0,700000.0,Target,Data Scientist
C13-VP-Data Scientist-Fraud Model Development -PUNE,Pune,3.7,0,300000.0,400000.0,350000.0,Citigroup,Data Scientist
Data Scientist II - GBS IND,Chennai,3.9,0,200000.0,700000.0,450000.0,Bank of America,Data Scientist
Senior Data Scientist,Noida,3.5,0,300000.0,1000000.0,650000.0,Optum,Data Scientist
Data Scientist Associate Sr,Bengaluru,4.1,0,300000.0,500000.0,400000.0,JPMorganChase,Data Scientist
Data Scientist,Bengaluru,3.8,0,900000.0,900000.0,900000.0,Kyndryl,Data Scientist
Data Scientist - C13 - VP - PUNE,Pune,3.7,0,300000.0,400000.0,350000.0,Citigroup,Data Scientist
Lead Data Scientist-Stores,Bengaluru,4.2,0,400000.0,400000.0,400000.0,Target,Data Scientist
Senior Data Scientist,Bengaluru,4.7,0,0.0,0.0,0.0,MASTER MIND CONSULTANCY,Data Scientist
AI/ML Engineer,Noida,4.1,0,400000.0,500000.0,450000.0,Techahead Software Pvt. Ltd.,Machine Learning Engineer
"(Remote, India) Sr. Data Scientist, Analytics R&D",Navi Mumbai,4.4,0,400000.0,1000000.0,700000.0,PulsePoint,Data Scientist
Senior Data Scientist,Bengaluru,3.3,0,400000.0,700000.0,550000.0,Mico,Data Scientist
Machine Learning Engineer,India,3.3,0,500000.0,500000.0,500000.0,National Credit Recovery Inc,Machine Learning Engineer
AI/ML - Jr & Sr Positions,Remote,,1,5000.0,5000.0,5000.0,CCPL,AI Engineer
"Associate Specialist, Data Science",Noida,3.5,0,500000.0,900000.0,700000.0,Pentair,Data Science
Commercial Data Scientist,Bengaluru,3.6,0,700000.0,900000.0,800000.0,ExxonMobil,Data Scientist
Data Scientist,Bengaluru,4.5,0,100000.0,1000000.0,550000.0,PradeepIT Consulting Services,Data Scientist
Senior Data Scientist | Machine Learning Engineer (MLE),Pune,,0,1100000.0,1100000.0,1100000.0,hirezy.ai,Data Scientist
Senior Data Scientist,Noida,4.2,0,200000.0,600000.0,400000.0,Tractable,Data Scientist
Gen AI Agentic AI - Jr & Sr Positions,Remote,,1,11000.0,11000.0,11000.0,CCPL,AI Engineer
Senior Data Scientist,Bengaluru,4,0,400000.0,800000.0,600000.0,Caterpillar,Data Scientist
Decision Scientist,Bengaluru,4.1,0,400000.0,900000.0,650000.0,PhonePe,Other
Senior Data Scientist,,3.4,0,200000.0,600000.0,400000.0,Data Axle,Data Scientist
Sr. Data Scientist,Pune,3.7,0,500000.0,800000.0,650000.0,LogicMonitor,Data Scientist
Data Scientist,Hyderābād,3.8,0,500000.0,800000.0,650000.0,NTT DATA,Data Scientist
AI Developer,,3.8,0,300000.0,1000000.0,650000.0,Weekday,AI Engineer
"Associate - Data, Insights & Analytics",Bengaluru,4.1,0,700000.0,1000000.0,850000.0,JPMorganChase,Analyst
AI ML Engineer,Remote,4.5,0,400000.0,1500000.0,950000.0,Welkin Soft Tech Pvt. Ltd,Machine Learning Engineer
SR DATA SCIENTIST I GLOBAL,Gurgaon,3.8,0,200000.0,1000000.0,600000.0,McCormick,Data Scientist
APPLIED AI SCIENTIST,Cochin,4,0,500000.0,600000.0,550000.0,GadgEon,AI Engineer
Lead Data Scientist,Hyderābād,4,0,600000.0,600000.0,600000.0,Technovert,Data Scientist
Lead Data Scientist,Gurgaon,4.1,0,800000.0,900000.0,850000.0,S&P Global,Data Scientist
CCB_Data and Analytics - AI ML Associate,Mumbai,4.1,0,200000.0,300000.0,250000.0,JPMorganChase,AI Engineer
Data Science Trainer,India,4.7,0,800000.0,1200000.0,1000000.0,Innomatics Research Labs,Data Science
Principle Applied Scientist - Computer VIsion,Bengaluru,3.9,0,300000.0,600000.0,450000.0,RadiusAI,Other
Lead Data Scientist-Stores,Bengaluru,3.4,0,400000.0,1000000.0,700000.0,Target,Data Scientist
Machine Learning Engineer - India,Noida,3.6,0,300000.0,700000.0,500000.0,Escalent,Machine Learning Engineer
Machine Learning Engineer 2,Noida,4.2,0,3600000.0,6000000.0,4800000.0,Adobe,Machine Learning Engineer
Senior Data Scientist - Supply Chain Management (m/f/d),Bengaluru,3.9,0,300000.0,800000.0,550000.0,aioneers,Data Scientist
Machine Learning Engineer,India,3.6,1,6000.0,8000.0,7000.0,Vidhema Technologies,Machine Learning Engineer
Digital-Staff-Machine Learning Developer,Chennai,3.7,0,300000.0,600000.0,450000.0,EY,Machine Learning Engineer
Manager_Lead_Data Scientist_Pune,Pune,3.9,0,600000.0,900000.0,750000.0,Vodafone,Data Scientist
Faculty - Data Science,Hyderābād,3.9,0,500000.0,800000.0,650000.0,Naresh I Technologies,Data Science
Data Science Trainer,Cochin,4.7,1,18000.0,18000.0,18000.0,KOMPETENZEN TECHNOLOGIES,Data Science
Data Science Trainer,Thāne,2.4,1,20000.0,35000.0,27500.0,Nettech India,Data Science
Data Science Engineer 3,Noida,4.2,0,1000000.0,1000000.0,1000000.0,Adobe,Data Science
AI/ML Expert,Chennai,4,0,800000.0,800000.0,800000.0,Ford Motor Company,AI Engineer
Principal Data Scientist,Bengaluru,4.1,0,400000.0,900000.0,650000.0,Honeywell,Data Scientist
Data Scientist Manager,Pune,4.7,0,0.0,0.0,0.0,MASTER MIND CONSULTANCY,Data Scientist
Senior Data Scientist,Mumbai,4.7,0,500000.0,900000.0,700000.0,Phygital Insights,Data Scientist
"Cloud Engineer, AI",Bengaluru,4.3,0,300000.0,1000000.0,650000.0,Google,AI Engineer
AI or ML Engineer,Noida,3.5,0,100000.0,600000.0,350000.0,Optum,Machine Learning Engineer
Machine Learning Engineer- LLM,Hyderābād,4.1,0,800000.0,900000.0,850000.0,Apple,Machine Learning Engineer
Data and Analytics -Pricing and Commercial - Senior,Bengaluru,3.7,0,300000.0,400000.0,350000.0,EY,Analyst
"Applied Scientist II, India Machine Learning",Bengaluru,3.6,0,300000.0,500000.0,400000.0,ADCI - Karnataka,Machine Learning Engineer
Associate - Analytics Solutions,Bengaluru,4.1,0,700000.0,1000000.0,850000.0,JPMorganChase,Analyst
Consultant - Insights & Analytics (Forecasting),Hyderābād,4.2,0,400000.0,700000.0,550000.0,Chryselys,Analyst
AI or ML Engineer,Bengaluru,3.5,0,200000.0,800000.0,500000.0,Optum,Machine Learning Engineer
AI Lead,Bengaluru,3.7,0,300000.0,400000.0,350000.0,CGI,AI Engineer
"Director, Data Science",,3.5,0,600000.0,700000.0,650000.0,Brainlabs,Data Science
SaT-DNA-Data & AI Strategy-Associate Director,Bengaluru,3.7,0,400000.0,700000.0,550000.0,EY,AI Engineer
AI/ML Engineer,Ahmedabad,4.8,0,400000.0,600000.0,500000.0,Glasier Inc,Machine Learning Engineer
COMPUTER VISION & EDGE AI ENGINEER,Cochin,4,0,500000.0,600000.0,550000.0,GadgEon,AI Engineer
AI/ML Engineer,Hosūr,4,0,300000.0,300000.0,300000.0,GBrit Software Solutions Pvt Ltd,Machine Learning Engineer
EY - GDS Consulting - AI & DATA -Statistical Modeler - Senior,Pune,3.7,0,300000.0,600000.0,450000.0,EY,AI Engineer
